序列   电影名称   评星   评论人数   上映国家   上映时间   简述
154   英雄本色   8.7   401729人评价    中国香港    1986    英雄泪短，兄弟情长。 
155   头号玩家   8.6   1097568人评价    美国    2018    写给影迷，动漫迷和游戏迷的一封情书。
156   上帝之城   9.0   244790人评价    巴西法国    2002    被上帝抛弃了的上帝之城。
157   谍影重重3   8.8   336404人评价    美国德国    2007    像吃了苏打饼一样干脆的电影。
158   疯狂原始人   8.7   681179人评价    美国    2013    老少皆宜，这就是好莱坞动画的魅力。
159   岁月神偷   8.7   487260人评价    中国香港中国大陆    2010    岁月流逝，来日可追。
160   未麻的部屋   9.0   219612人评价    日本    1997    好的剧本是，就算你猜到了结局也猜不到全部。
161   纵横四海   8.8   319938人评价    中国香港    1991    香港浪漫主义警匪动作片的巅峰之作。
162   卢旺达饭店   8.9   239272人评价    英国南非意大利    2004    当这个世界闭上双眼，他却敞开了怀抱。
163   三块广告牌   8.7   653217人评价    美国英国    2017    怼天怼地，你走后，她与世界为敌。
164   达拉斯买家俱乐部   8.8   353123人评价    美国    2013    Jared Leto的腿比女人还美！
165   花样年华   8.7   451348人评价    中国香港    2000    偷情本没有这样美。
161   纵横四海   8.8   319938人评价    中国香港    1991    香港浪漫主义警匪动作片的巅峰之作。
162   卢旺达饭店   8.9   239272人评价    英国南非意大利    2004    当这个世界闭上双眼，他却敞开了怀抱。
163   三块广告牌   8.7   653217人评价    美国英国    2017    怼天怼地，你走后，她与世界为敌。
164   达拉斯买家俱乐部   8.8   353123人评价    美国    2013    Jared Leto的腿比女人还美！
165   花样年华   8.7   451348人评价    中国香港    2000    偷情本没有这样美。
166   心迷宫   8.7   387311人评价    中国大陆    2014    荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
167   记忆碎片   8.6   487128人评价    美国    2000    一个针管引发的血案。
168   黑客帝国3：矩阵革命   8.8   333534人评价    美国澳大利亚    2003    不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
169   模仿游戏   8.7   478781人评价    英国美国    2014    他给机器起名“克里斯托弗”，因为这是他初恋的名字。
170   新世界   8.8   276289人评价    韩国    2013    要做就做得狠一点，这样才能活下去。
171   你的名字。   8.4   1083132人评价    日本    2016    穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
172   荒蛮故事   8.8   333219人评价    阿根廷西班牙    2014    始于荒诞，止于更荒诞。
173   头脑特工队   8.7   462023人评价    美国    2015    愿我们都不用长大，每一座城堡都能永远存在。
174   真爱至上   8.6   575909人评价    英国美国法国    2003    爱，是个动词。
175   忠犬八公物语   9.2   147491人评价    日本    1987    养狗三日，便会对你终其一生。
176   爆裂鼓手   8.7   441241人评价    美国    2014    这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
177   萤火虫之墓   8.7   341544人评价    日本    1988    幸福是生生不息，却难以触及的远。 
